h	action	descriptor	source	effect	device
2	refocus	macroscopic	quantum	flux	inhibitor
3	amplify	linear	positronic	reaction	equalizer
4	synchronize	non-linear	thermionic	field	calcifier
5	redirect	isometric	osmotic	modulation	damper
6	recalibrate	parametric	nutrino	co-variance	chamber
7	modulate	multi-variant	electron	dispenser	recombinator
8	intensify	nano	spatial	particle	catalyzer
9	nullify	pico	resonating	gradiant	assembly
10	boost	phased	thermal	induction	coil
11	reverse	conjugated	photon	conversion	unit
12	reconfigure	master	ionic	polarizing	grid
13	actuate	auxiliary	plasma	displacement	membrane
14	focus	primary	nucleic	feed	regulator
15	invert	secondary	verteron	imaging	sustainer
16	reroute	tertiary	fluidic	reciprocating	bypass
17	modify	backup	gravimetric	frequency	relay
18	restrict	fallback	nadion	pulse	discriminator
19	reset	polynodal	subspace	randomizer	array
20	extend	multi-modal	baryon	phased	coupling
21	oscillate	polyphasic	tetryon	harmonic	conjugate
22	align	emergency	polaron	inverted	controller
23	re-align	trifold	tachyon	rebalance	interface
24	normalize	balanced	chroniton	interference	actuator
25	balance	oscillating	dimensional	distortion	harmonic
26	regulate	dominant	prectrum	dampening	generator
27	revise	recessive	structural	invariance	manifold
28	center	initial	anatomic	compressing	stabilizer
29	inflect	principal	bisector	collapsing	assessor
30	attune	leading	splitter	alteration	comparator
31	augment	mainline	condensor	reconstruction	differential
32	magnify	congruent	evaporator	mitigation	validator
33	dilate	dorsal	injector	transformation	sequencer
34	strengthen	microscopic	common	enhancement	re-sequencer
35	re-process	asymetiric	trectonic	inhibition	case
36	harmonize	dissymetirc	canonic	regulating	capacitor
37	reconcile	common	gluon	parsing	resistor
38	systematize	colocated	boson	randomizing	resevoir
39	back out	aspected	variant	reconciling	overflow
40	revert	ventral	electron	distribution	crucible
